HALTER_ID,ALTER,GESCHLECHT,STADTKREIS,STADTQUARTIER,RASSE1,RASSE1_MISCHLING,RASSE2,RASSE2_MISCHLING,RASSENTYP,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
24041,"41-50","w",11,"115","Bergamasker",,"Border Collie",,"I",2019,"w","schwarz/weiss"
24246,"51-60","m",10,"102","Samojede",,,,"I",2018,"w","weiss"
44439,"71-80","m",7,"74","Mischling klein",,,,"K",2005,"m","hellbraun"
54322,"71-80","m",3,"33","Lagotto Romagnolo",,,,"I",2009,"m","weiss/orange"
55176,"71-80","m",3,"34","Dobermann",,,,"I",2016,"m","schwarz/braun"
55693,"71-80","w",11,"119","Chihuahua",,,,"K",2011,"w","braun/weiss"
55835,"71-80","w",8,"82","Lagotto Romagnolo",,,,"I",2009,"m","marronschimmel"
60348,"71-80","m",11,"111","Mischling klein",,,,"K",2013,"w","schwarz/weiss"
60402,"61-70","w",11,"111","Mischling klein",,,,"K",2013,"m","dunkelbraun"
61323,"71-80","m",8,"81","Mudi",,,,"I",2010,"m","blondfarben"
62389,"71-80","m",8,"83","Boxer",,,,"I",2014,"w","gestromt"
62628,"71-80","m",7,"72","Yorkshire Terrier",,,,"K",2007,"w","graubraun"
63468,"81-90","m",7,"74","Pekingese",,,,"K",2012,"m","schwarz/weiss"
63704,"71-80","m",10,"101","Dachshund",,,,"K",2012,"w","saufarben"
64444,"61-70","m",7,"71","Mischling klein",,,,"K",2007,"w","rot/weiss"
64727,"51-60","m",8,"83","Appenzeller Sennenhund",,"Border Collie",,"I",2016,"m","tricolor"
65665,"61-70","w",8,"82","Mops",,,,"K",2019,"m","beige/schwarz"
65681,"51-60","m",2,"21","Italienisches Windspiel",,,,"K",2011,"m","blau"
65713,"71-80","w",2,"21","Lagotto Romagnolo",,,,"I",2005,"w","braun"
65713,"71-80","w",2,"21","Lagotto Romagnolo",,,,"I",2017,"w","braun"
65732,"51-60","m",7,"72","Holländischer Schäfer",,,,"I",2009,"m","gestromt"
65758,"51-60","w",7,"71","Yorkshire Terrier",,,,"K",2007,"m","black/tan"
65794,"51-60","m",7,"72","Lagotto Romagnolo",,,,"I",2017,"m","braun/weiss"
65940,"51-60","w",8,"81","Berner Sennenhund",,,,"I",2019,"w","tricolor"
65975,"61-70","w",7,"74","Cocker Spaniel",,,,"K",2018,"m","hellbraun/weiss"
65975,"61-70","w",7,"74","Labrador Retriever",,,,"I",2010,"w","braun"
65975,"61-70","w",7,"74","Labrador Retriever",,,,"I",2006,"m","schwarz"
65981,"51-60","w",6,"63","Labrador Retriever",,,,"I",2013,"m","gelb"
65981,"51-60","w",6,"63","Labrador Retriever",,,,"I",2017,"m","gelb"
66151,"51-60","m",11,"115","Deutscher Schäfer",,,,"I",2008,"w","schwarz/braun/weiss"
66298,"51-60","m",6,"63","Magyar Viszla",,,,"I",2010,"m","gelb"
66323,"51-60","m",8,"83","Mischling klein",,,,"K",2017,"m","braun"
66515,"61-70","m",8,"83","Labrador Retriever",,,,"I",2007,"w","braun"
66515,"61-70","m",8,"83","Labrador Retriever",,,,"I",2011,"w","braun"
66757,"51-60","w",1,"14","Mischling gross",,,,"I",2012,"m","braun/beige"
66869,"51-60","w",2,"24","Havaneser",,,,"K",2015,"m","braun/rot"
67001,"51-60","w",3,"34","Mops",,,,"K",2013,"m","beige"
67018,"71-80","w",6,"61","Labrador Retriever",,,,"I",2012,"m","beige"
67125,"61-70","m",7,"74","Rhodesian Ridgeback",,,,"I",2017,"m","blue/tan"
67135,"41-50","m",6,"61","Jack Russel Terrier",,,,"K",2010,"w","tricolor"
67135,"41-50","m",6,"61","Jack Russel Terrier",,,,"K",2017,"w","tricolor"
67220,"71-80","m",2,"21","Mischling klein",,,,"K",2010,"m","braun"
67272,"31-40","w",3,"33","Beagle",,,,"K",2017,"w","tricolor"
67308,"51-60","w",11,"111","Shih Tzu",,,,"K",2012,"w","braun/weiss"
67327,"41-50","m",5,"52","Pudel",,"Golden Retriever",,"I",2018,"m","creme"
70076,"41-50","m",9,"92","Labrador Retriever",,,,"I",2009,"m","braun"
70115,"41-50","w",3,"31","Mischling gross",,,,"I",2016,"m","schwarz/weiss"
70152,"61-70","m",8,"82","Bayerischer Gebirgsschweisshund",,"Border Collie",,"I",2018,"w","schwarz"
70176,"41-50","w",4,"44","Mischling gross",,,,"I",2012,"w","weiss"
70296,"51-60","w",7,"74","Pinscher","Mischling",,,"K",2009,"m","hellbraun"
70296,"51-60","w",7,"74","Mischling klein",,,,"K",2010,"w","weiss/beige"
70577,"51-60","w",3,"34","Mischling klein",,,,"K",2014,"w","blondfarben"
70788,"31-40","m",7,"71","Mops",,"Beagle",,"K",2014,"w","braun"
71024,"61-70","w",7,"74","Lagotto Romagnolo",,,,"I",2012,"w","bianco-aranico"
71142,"51-60","w",7,"71","Canaan Dog",,,,"I",2008,"m","schwarz"
71555,"71-80","m",7,"71","Braque d'Auvergne",,,,"I",2018,"m","schwarz/weiss"
71670,"61-70","m",7,"71","Deutscher Schäfer",,,,"I",2012,"w","braun"
71885,"71-80","w",7,"73","Mischling klein",,,,"K",2013,"w","weiss/braun"
71893,"51-60","w",6,"63","Border Collie",,,,"I",2012,"w","tricolor"
71991,"51-60","m",6,"63","Border Collie",,,,"I",2015,"m","schwarz/weiss"
72136,"61-70","m",7,"72","Labrador Retriever",,,,"I",2007,"m","choco"
72580,"41-50","m",10,"102","Prager Rattler",,,,"K",2013,"m","hellbraun"
72580,"41-50","m",10,"102","Prager Rattler",,,,"K",2013,"m","braun"
80007,"71-80","m",11,"111","Labrador Retriever",,,,"I",2016,"m","schwarz"
80011,"51-60","w",12,"123","Yorkshire Terrier",,,,"K",2009,"m","tricolor"
80021,"51-60","w",11,"111","Labrador Retriever",,,,"I",2011,"w","schwarz"
80023,"71-80","m",11,"111","Border Collie",,,,"I",2010,"m","tricolor"
80023,"71-80","m",11,"111","Border Collie",,,,"I",2014,"w","schwarz/weiss"
80028,"41-50","w",10,"101","Border Collie",,"Deutscher Schäfer",,"I",2015,"w","tricolor"
80056,"81-90","m",7,"74","Labrador Retriever",,,,"I",2006,"w","schwarz"
80059,"71-80","w",12,"123","Französische Bulldogge",,,,"K",2007,"w","weiss"
80068,"51-60","m",9,"91","Bayerischer Gebirgsschweisshund",,,,"I",2011,"m","hirschrot mit Maske"
80096,"51-60","w",11,"111","Shih Tzu","Mischling",,,"K",2014,"m","beige"
80099,"81-90","m",12,"123","Pinscher",,,,"K",2002,"m","rot"
80106,"61-70","w",9,"91","Labrador Retriever",,"Golden Retriever",,"I",2009,"m","schwarz"
80127,"51-60","w",10,"101","Mischling gross",,,,"I",2016,"m","weiss/braun"
80134,"71-80","m",9,"91","Mischling gross",,,,"I",2016,"w","weiss"
80141,"51-60","m",11,"111","Yorkshire Terrier","Mischling",,,"K",2003,"w","schwarz/braun/grau"
80162,"61-70","m",12,"123","Spitz","Mischling",,,"K",2004,"m","schwarz/weiss"
80162,"61-70","m",12,"123","Parson Jack Russell Terrier",,,,"K",2008,"m","weiss/rot"
80168,"61-70","m",11,"119","Labrador Retriever",,,,"I",2005,"m","beige"
80172,"61-70","m",9,"91","Labrador Retriever",,,,"I",2008,"m","schwarz"
80185,"41-50","m",10,"102","Labrador Retriever",,,,"I",2010,"w","blondfarben"
80205,"41-50","m",5,"51","Beauceron Berge de Beauce",,,,"I",2016,"m","schwarz/braun"
80226,"71-80","w",6,"61","Labrador Retriever",,,,"I",2018,"w","blondfarben"
80230,"61-70","w",9,"92","Yorkshire Terrier",,,,"K",2006,"m","braun/weiss"
80230,"61-70","w",9,"92","Chihuahua",,,,"K",2017,"w","beige"
80248,"61-70","m",4,"42","Jack Russel Terrier",,,,"K",2009,"w","braun/weiss"
80258,"61-70","m",11,"111","Dachshund",,,,"K",2009,"w","rot/schwarz"
80258,"61-70","m",11,"111","Weimaraner",,,,"I",2016,"w","grau"
80267,"41-50","m",12,"122","Mischling klein",,,,"K",2006,"m","braun"
80272,"51-60","m",9,"91","Foxterrier",,,,"K",2017,"m","schwarz/weiss"
80319,"51-60","w",10,"102","Mischling klein",,,,"K",2006,"m","braun/schwarz"
80335,"61-70","w",12,"122","Irish Setter",,"Golden Retriever",,"I",2008,"m","braun"
80335,"61-70","w",12,"122","Irish Setter",,"Golden Retriever",,"I",2008,"m","braun"
80370,"61-70","m",12,"121","Deutscher Schäfer",,,,"I",2016,"m","schwarz/braun"
80382,"61-70","w",10,"102","Dachshund",,,,"K",2008,"m","braun"
80383,"91-100","w",4,"44","Malteser",,"Chihuahua",,"K",2014,"w","weiss"
80404,"61-70","m",7,"72","Deutscher Wachtelhund",,,,"I",2015,"m","braun schimmel"
80406,"61-70","m",11,"111","Labrador Retriever",,,,"I",2008,"w","schwarz"
80407,"81-90","m",7,"72","Labrador Retriever",,,,"I",2012,"w","schwarz"
80410,"61-70","w",3,"33","Labrador Retriever",,,,"I",2012,"w","schwarz"
80412,"51-60","m",2,"21","Labrador Retriever",,,,"I",2012,"m","schwarz"
80416,"51-60","w",9,"91","Labrador",,,,"I",2016,"m","schwarz"
80434,"61-70","w",7,"71","Pudel","Mischling",,,"K",2006,"m","schwarz"
80491,"71-80","w",6,"63","Chihuahua",,,,"K",2006,"w","braun"
80493,"81-90","w",11,"119","Shih Tzu",,,,"K",2006,"m","weiss/schwarz"
80500,"61-70","m",11,"111","Boxer",,,,"I",2010,"w","goldbraun"
80509,"71-80","w",2,"24","Boxer",,,,"I",2011,"w","gelb"
80513,"61-70","w",3,"33","Parson Jack Russell Terrier",,,,"K",2011,"w","tricolor"
80517,"51-60","w",11,"119","Bolonka Zwetna",,,,"K",2016,"w","beige/creme"
80521,"61-70","w",11,"111","Deutscher Schäfer",,,,"I",2013,"w","schwarz/braun"
80525,"81-90","m",7,"72","Zwergpudel",,,,"K",2011,"m","schwarz"
80538,"61-70","w",2,"24","English Cocker Spaniel",,,,"K",2011,"m","schwarz/weiss"
80545,"51-60","m",9,"91","Border Terrier",,,,"K",2010,"w","red grizzle"
80545,"51-60","m",9,"91","Border Terrier",,,,"K",2006,"w","schwarz/braun"
80571,"51-60","m",3,"34","Mischling klein",,,,"K",2013,"w","schwarz/braun"
80575,"81-90","w",4,"42","Mischling klein",,,,"K",2008,"w","weiss/beige"
80584,"71-80","w",8,"82","Labrador Retriever",,,,"I",2009,"m","schwarz"
80602,"71-80","w",12,"122","Bolonka Zwetna",,,,"K",2011,"m","weiss"
80604,"71-80","m",7,"72","Labrador Retriever",,,,"I",2009,"w","braun"
80604,"71-80","m",7,"72","Labrador Retriever",,,,"I",2012,"w","schwarz"
80607,"81-90","w",10,"101","West Highland White Terrier",,,,"K",2004,"w","weiss"
80618,"71-80","w",8,"83","Irish Terrier",,,,"I",2005,"w","rot"
80628,"61-70","m",9,"91","Labrador Retriever",,,,"I",2016,"w","schwarz"
80631,"71-80","w",11,"115","Mischling gross",,,,"I",2012,"w","braun/schwarz"
80637,"81-90","m",12,"123","Mischling gross",,,,"I",2009,"w","schwarz"
80648,"51-60","m",11,"111","Groenendael",,,,"I",2015,"m","schwarz"
80653,"61-70","m",7,"73","Groenendael",,,,"I",2009,"w","schwarz"
80656,"71-80","m",10,"101","Epagneul Breton (Bretonischer Vorstehhund)",,,,"I",2008,"w","weiss/braun"
80659,"51-60","w",3,"33","English Springer Spaniel",,,,"I",2012,"m","schwarz/weiss"
80661,"71-80","w",7,"72","Chihuahua",,,,"K",2014,"w","schwarz/beige"
80684,"71-80","w",7,"72","Bergamasker","Mischling",,,"I",2009,"m","tricolor"
80698,"41-50","w",11,"119","Toypudel",,,,"K",2016,"m","rot"
80698,"41-50","w",11,"119","Toypudel",,,,"K",2019,"m","weiss"
80700,"51-60","w",2,"21","Mischling klein",,,,"K",2007,"w","braun/weiss"
80700,"51-60","w",2,"21","Podenco",,,,"I",2009,"w","braun/schwarz"
80713,"61-70","m",11,"111","Dachshund",,,,"K",2012,"w","rot"
80715,"61-70","m",6,"61","Mischling klein",,,,"K",2007,"m","rehbraun"
80719,"61-70","w",11,"111","Jack Russel Terrier",,,,"K",2004,"m","weiss/schwarz/braun"
80719,"61-70","w",11,"111","Parson Terrier","Mischling",,,"K",2005,"m","beige"
80734,"71-80","w",2,"24","Podenco","Mischling",,,"I",2016,"w","braun/weiss"
80735,"51-60","w",12,"122","Golden Retriever",,,,"I",2010,"w","blondfarben"
80746,"71-80","w",7,"71","Dachshund",,,,"K",2016,"m","schwarz/rot"
80753,"71-80","m",11,"119","Mischling klein",,,,"K",2011,"w","braun"
80755,"61-70","w",9,"91","West Highland White Terrier",,,,"K",2012,"w","weiss"
80760,"71-80","w",7,"74","Epagneul Breton (Bretonischer Vorstehhund)",,,,"I",2015,"m","weiss/orange"
80761,"71-80","m",11,"115","Appenzeller Sennenhund",,,,"I",2011,"w","tricolor"
80761,"71-80","m",11,"115","Appenzeller Sennenhund",,,,"I",2008,"m","tricolor"
80763,"71-80","w",7,"74","Berner Sennenhund",,"Deutscher Schäfer",,"I",2012,"w","tricolor"
80767,"71-80","w",9,"92","Beagle",,,,"K",2012,"m","tricolor"
80778,"61-70","m",2,"23","Yorkshire Terrier",,,,"K",2014,"w","schwarz/braun"
80784,"51-60","w",7,"71","Mischling klein",,,,"K",2015,"m","beige"
80797,"81-90","w",2,"24","Shih Tzu",,,,"K",2009,"m","tricolor"
80835,"81-90","w",7,"73","Malteser",,,,"K",2013,"w","weiss"
80838,"71-80","w",7,"71","Toypudel",,,,"K",2013,"w","schwarz"
80840,"51-60","w",10,"101","Dalmatiner","Mischling",,,"I",2012,"m","schwarz/weiss"
80847,"71-80","m",9,"91","Beagle",,,,"K",2006,"w","tricolor"
80853,"51-60","w",12,"122","Labrador",,"Pudel",,"I",2015,"w","schwarz"
80871,"61-70","m",7,"72","Miniature Australian Shepherd",,,,"K",2017,"m","tricolor"
80876,"51-60","w",2,"23","Zwergschnauzer",,,,"K",2017,"m","schwarz/weiss"
80879,"61-70","m",7,"74","Nova Scotia Duck Tolling Retriever",,,,"I",2016,"w","rot/weiss"
80881,"71-80","w",7,"72","Mops",,,,"K",2008,"w","beige"
80881,"71-80","w",7,"72","Mops",,,,"K",2010,"m","beige"
80883,"61-70","w",7,"73","Galgo Espanol",,,,"I",2014,"w","braun gestromt"
80883,"61-70","w",7,"73","Mischling gross",,,,"I",2018,"w","beige"
80884,"81-90","w",7,"74","Cocker Spaniel",,,,"K",2005,"w","weiss/orange"
80888,"71-80","w",7,"72","Deutscher Boxer",,,,"I",2011,"w","hirschrot"
80890,"61-70","m",7,"73","Pinscher","Mischling",,,"K",2004,"w","tricolor"
80899,"51-60","w",11,"115","Mischling klein","Mischling",,,"K",2015,"w","tricolor"
80904,"61-70","m",8,"82","Border Collie","Mischling",,,"I",2016,"w","tricolor"
80915,"71-80","w",3,"34","Golden Retriever",,,,"I",2006,"w","blondfarben"
80916,"41-50","w",9,"92","Groenendael",,,,"I",2010,"w","schwarz"
80916,"41-50","w",9,"92","Groenendael",,,,"I",2018,"w","schwarz"
80917,"41-50","w",10,"101","Mischling gross",,,,"I",2014,"w","weiss/braun"
80940,"71-80","w",7,"71","Mischling klein",,,,"K",2004,"m","grau/weiss"
80940,"71-80","w",7,"71","Mischling klein",,,,"K",2011,"w","schwarz/braun"
80945,"71-80","w",7,"72","Jack Russel Terrier",,,,"K",2003,"w","tricolor"
80950,"71-80","w",7,"73","Rhodesian Ridgeback",,,,"I",2019,"w","red-wheaten"
80957,"51-60","w",7,"74","Riesenschnauzer",,,,"I",2012,"w","schwarz"
80959,"51-60","w",8,"82","Spinone",,,,"I",2016,"w","braun schimmel"
80960,"71-80","w",7,"72","Mops",,,,"K",2007,"m","schwarz"
80978,"61-70","w",9,"92","Mischling klein",,,,"K",2012,"m","tricolor"
80982,"61-70","w",10,"101","Dachshund",,,,"K",2013,"w","gestromt"
80994,"51-60","w",10,"101","Labrador",,,,"I",2018,"m","braun"
80999,"61-70","w",10,"101","West Highland White Terrier",,,,"K",2012,"w","weiss"
81001,"71-80","m",10,"101","Boxer",,,,"I",2017,"w","gestromt"
81004,"61-70","w",9,"92","Scottish Terrier",,,,"K",2006,"m","brindle"
81004,"61-70","w",9,"92","Scottish Terrier",,,,"K",2013,"m","schwarz"
81004,"61-70","w",9,"92","Mischling klein",,,,"K",2015,"m","beige/schwarz"
81004,"61-70","w",9,"92","Mischling klein",,,,"K",2016,"w","beige/rot"
81018,"81-90","w",10,"101","Tervueren",,,,"I",2005,"w","braun"
81042,"41-50","w",2,"21","Mischling klein",,,,"K",2008,"w","tricolor"
81042,"41-50","w",2,"21","Foxterrier","Mischling",,,"K",2011,"m","braun/weiss"
81045,"71-80","w",6,"63","Zwergrauhaardackel",,,,"K",2009,"w","saufarben"
81050,"61-70","w",5,"52","Labrador Retriever",,,,"I",2009,"m","schwarz"
81050,"61-70","w",5,"52","Labrador Retriever",,,,"I",2005,"m","schwarz"
81054,"51-60","w",1,"11","Mops",,,,"K",2011,"m","schwarz"
81064,"71-80","w",8,"83","Labrador Retriever",,,,"I",2009,"w","braun"
81072,"51-60","w",7,"71","Mischling klein",,,,"K",2008,"w","braun/weiss"
81091,"71-80","w",7,"71","Labrador Retriever",,,,"I",2017,"m","schwarz"
81097,"71-80","w",7,"72","Golden Retriever",,,,"I",2015,"m","weiss"
81097,"71-80","w",7,"72","Golden Retriever",,,,"I",2013,"w","golden"
81107,"81-90","w",7,"74","Deutscher Schäfer",,,,"I",2011,"m","schwarz/gelb"
81108,"61-70","w",1,"11","Phalène",,,,"K",2016,"w","tricolor"
81112,"81-90","m",7,"74","Australian Shepherd","Mischling",,,"I",2009,"m","blue/merle"
81116,"51-60","w",7,"74","Französische Bulldogge",,"Mops",,"K",2014,"w","beige/schwarz"
81132,"31-40","m",7,"73","Mischling klein",,,,"K",2010,"w","schwarz/braun"
81134,"81-90","m",7,"74","Mittelspitz",,,,"K",2009,"w","schwarz/weiss"
81139,"81-90","w",7,"74","Mops",,,,"K",2015,"m","beige"
81152,"51-60","w",4,"41","Mischling gross",,,,"I",2018,"m","schwarz"
81153,"51-60","w",8,"83","Airedale Terrier",,,,"I",2013,"w","black/tan"
81159,"71-80","m",9,"92","Airedale Terrier",,,,"I",2015,"w","black/tan"
81172,"61-70","w",11,"111","Collie",,,,"I",2009,"m","tricolor"
81172,"61-70","w",11,"111","Collie",,,,"I",2017,"m","sable"
81183,"51-60","m",9,"92","Deutscher Schäfer",,,,"I",2011,"w","schwarz/gelb"
81183,"51-60","m",9,"92","Yorkshire Terrier",,,,"K",2013,"m","steelblue/tan"
81188,"51-60","m",10,"101","Jack Russel Terrier",,,,"K",2011,"w","braun/weiss"
81200,"81-90","m",10,"101","Toypudel",,,,"K",2002,"w","schwarz"
81212,"61-70","w",9,"92","Labrador Retriever",,,,"I",2018,"w","schwarz"
81218,"81-90","w",9,"91","Cairn Terrier",,,,"K",2012,"m","rot/braun"
81245,"71-80","w",8,"81","Chihuahua",,,,"K",2009,"w","rot"
81245,"71-80","w",8,"81","Mischling klein",,,,"K",2014,"w","schwarz"
81248,"71-80","m",10,"101","Deutscher Schäfer",,,,"I",2012,"m","braun/schwarz"
81281,"61-70","m",3,"33","Labrador Retriever",,,,"I",2003,"m","schwarz"
81293,"81-90","w",10,"101","Cocker Spaniel",,,,"K",2010,"w","braun/weiss"
81309,"71-80","w",10,"102","Yorkshire Terrier","Mischling",,,"K",2006,"w","schwarz/braun"
81316,"71-80","w",11,"119","Biewer Yorkshire Terrier",,,,"K",2014,"m","tricolor"
81322,"81-90","w",6,"63","Galgo Espanol",,,,"I",2008,"w","gestromt"
81323,"81-90","m",6,"63","Alpenländische Dachsbracke",,,,"K",2007,"m","hirschrot"
81325,"71-80","w",12,"122","Sheltie",,,,"K",2008,"w","blue/merle"
81336,"51-60","w",6,"63","Malteser",,,,"K",2010,"w","weiss"
81346,"71-80","w",7,"71","Terrier","Mischling",,,"K",2005,"w","tricolor"
81348,"71-80","w",7,"71","Mischling gross",,,,"I",2015,"w","braun"
81352,"71-80","w",7,"71","Windspiel",,,,"I",2011,"m","steelblue"
81352,"71-80","w",7,"71","Italienisches Windspiel",,,,"K",2011,"w","schwarz/weiss"
81353,"81-90","w",6,"63","Rottweiler","Mischling",,,"I",2008,"m","schwarz/braun"
81357,"51-60","w",2,"21","Mittelpudel",,,,"K",2016,"w","schwarz"
81364,"51-60","w",2,"23","Dachshund",,,,"K",2008,"w","schwarz/rot"
81366,"61-70","w",10,"101","Greyhound",,,,"I",2014,"w","schwarz"
81381,"51-60","m",8,"81","Mischling klein",,,,"K",2016,"w","grau"
81387,"51-60","w",8,"82","Mischling gross",,,,"I",2014,"w","schwarz/braun"
81391,"81-90","w",7,"71","Lagotto Romagnolo",,,,"I",2012,"w","braun"
81392,"51-60","w",9,"91","Chow Chow",,"Labrador Retriever",,"I",2017,"w","schwarz"
81397,"51-60","w",8,"83","Bearded Collie",,,,"I",2015,"m","braun/weiss"
81399,"81-90","w",12,"122","Yorkshire Terrier",,,,"K",2016,"w","black/tan"
81403,"71-80","w",6,"63","Border Collie",,,,"I",2009,"w","tricolor"
81407,"71-80","m",6,"63","Border Collie",,,,"I",2006,"w","schwarz"
81424,"81-90","w",7,"74","Jack Russel Terrier","Mischling",,,"K",2007,"w","schwarz/braun"
81430,"71-80","w",10,"102","Bolonka Zwetna",,,,"K",2012,"w","black/tan"
